Instance: problem10c
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 95 (3 types), total box volume 47735
Container types: 1 (unlimited supply per type)
  type 2: 20x20x15, volume 6000, cost 600.0

Run started: 2026-09-13 18:47:04
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 10
  Containers by type: Typ2=10
  Total container volume: 60000
  Total container cost: 6000.0
  Volume utilization: 47735 / 60000 = 79.6%
  Mean per-container utilization: 79.6%

Greedy (initial decode) cost: 6600.0
SA improvement over greedy: -600.0
Best found at iteration 22 (0.4 s)

SA parameters:
  T0: 571.53 (calibrated, 17 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 130.2883 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 12762 in 15.00 s (850.7 it/s)
  accepted: 5551 (of which neutral 5102), rejected: 7211, no-move draws: 0
  reheats: 4
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 2 20x20x15 dest -: 9 boxes, volume 5107/6000 (85.1%)
  container   1 type 2 20x20x15 dest -: 9 boxes, volume 5107/6000 (85.1%)
  container   2 type 2 20x20x15 dest -: 9 boxes, volume 5107/6000 (85.1%)
  container   3 type 2 20x20x15 dest -: 11 boxes, volume 4609/6000 (76.8%)
  container   4 type 2 20x20x15 dest -: 9 boxes, volume 5107/6000 (85.1%)
  container   5 type 2 20x20x15 dest -: 9 boxes, volume 5107/6000 (85.1%)
  container   6 type 2 20x20x15 dest -: 13 boxes, volume 4487/6000 (74.8%)
  container   7 type 2 20x20x15 dest -: 9 boxes, volume 4536/6000 (75.6%)
  container   8 type 2 20x20x15 dest -: 9 boxes, volume 4536/6000 (75.6%)
  container   9 type 2 20x20x15 dest -: 8 boxes, volume 4032/6000 (67.2%)

Placements (box, type, container, position, oriented dims):
  box   37 type 1 -> container 5 pos (0, 0, 7) dims (11, 9, 7)
  box   38 type 1 -> container 5 pos (11, 0, 7) dims (9, 11, 7)
  box   39 type 1 -> container 5 pos (0, 9, 7) dims (11, 9, 7)
  box   54 type 2 -> container 5 pos (11, 11, 11) dims (4, 8, 4)
  box   55 type 2 -> container 5 pos (15, 11, 11) dims (4, 8, 4)
  box   40 type 1 -> container 6 pos (0, 0, 0) dims (11, 9, 7)
  box   41 type 1 -> container 6 pos (11, 0, 0) dims (9, 11, 7)
  box   42 type 1 -> container 6 pos (0, 9, 0) dims (11, 9, 7)
  box   66 type 3 -> container 6 pos (11, 11, 0) dims (6, 7, 12)
  box   67 type 3 -> container 6 pos (0, 0, 7) dims (12, 6, 7)
  box   68 type 3 -> container 6 pos (0, 6, 7) dims (6, 12, 7)
  box   56 type 2 -> container 6 pos (12, 0, 7) dims (4, 8, 4)
  box   57 type 2 -> container 6 pos (16, 0, 7) dims (4, 8, 4)
  box   59 type 2 -> container 6 pos (6, 6, 7) dims (4, 8, 4)
  box   60 type 2 -> container 6 pos (6, 14, 7) dims (4, 4, 8)
  box   61 type 2 -> container 6 pos (12, 0, 11) dims (4, 8, 4)
  box   62 type 2 -> container 6 pos (16, 0, 11) dims (4, 8, 4)
  box   64 type 2 -> container 6 pos (6, 6, 11) dims (4, 8, 4)
  box   69 type 3 -> container 7 pos (0, 0, 0) dims (12, 6, 7)
  box   70 type 3 -> container 7 pos (12, 0, 0) dims (6, 7, 12)
  box   71 type 3 -> container 7 pos (0, 6, 0) dims (12, 6, 7)
  box   72 type 3 -> container 7 pos (12, 7, 0) dims (6, 7, 12)
  box   73 type 3 -> container 7 pos (0, 12, 0) dims (12, 6, 7)
  box   74 type 3 -> container 7 pos (12, 14, 0) dims (7, 6, 12)
  box   75 type 3 -> container 7 pos (0, 0, 7) dims (12, 6, 7)
  box   76 type 3 -> container 7 pos (0, 6, 7) dims (12, 6, 7)
  box   77 type 3 -> container 7 pos (0, 12, 7) dims (12, 6, 7)
  box   78 type 3 -> container 8 pos (0, 0, 0) dims (12, 6, 7)
  box   79 type 3 -> container 8 pos (12, 0, 0) dims (6, 7, 12)
  box   80 type 3 -> container 8 pos (0, 6, 0) dims (12, 6, 7)
  box   81 type 3 -> container 8 pos (12, 7, 0) dims (6, 7, 12)
  box   82 type 3 -> container 8 pos (0, 12, 0) dims (12, 6, 7)
  box   83 type 3 -> container 8 pos (12, 14, 0) dims (7, 6, 12)
  box   84 type 3 -> container 8 pos (0, 0, 7) dims (12, 6, 7)
  box   85 type 3 -> container 8 pos (0, 6, 7) dims (12, 6, 7)
  box   86 type 3 -> container 8 pos (0, 12, 7) dims (12, 6, 7)
  box   87 type 3 -> container 9 pos (0, 0, 0) dims (12, 6, 7)
  box   88 type 3 -> container 9 pos (12, 0, 0) dims (6, 7, 12)
  box   89 type 3 -> container 9 pos (0, 6, 0) dims (12, 6, 7)
  box   90 type 3 -> container 9 pos (12, 7, 0) dims (6, 7, 12)
  box   92 type 3 -> container 9 pos (0, 12, 0) dims (12, 6, 7)
  box   93 type 3 -> container 9 pos (12, 14, 0) dims (7, 6, 12)
  box   94 type 3 -> container 9 pos (0, 0, 7) dims (12, 6, 7)
  box   91 type 3 -> container 9 pos (0, 6, 7) dims (12, 6, 7)
