Instance: problem12d
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 90 (3 types), total box volume 25200
Container types: 1 (unlimited supply per type)
  type 3: 20x18x10, volume 3600, cost 360.0

Run started: 2026-09-13 18:49:04
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 9
  Containers by type: Typ3=9
  Total container volume: 32400
  Total container cost: 3240.0
  Volume utilization: 25200 / 32400 = 77.8%
  Mean per-container utilization: 77.8%

Greedy (initial decode) cost: 3240.0
SA improvement over greedy: -0.0
Best found at iteration 0 (0.0 s)

SA parameters:
  T0: 342.92 (calibrated, 30 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 78.1730 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 11773 in 15.00 s (784.8 it/s)
  accepted: 5202 (of which neutral 4730), rejected: 6571, no-move draws: 0
  reheats: 3
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 3 20x18x10 dest -: 8 boxes, volume 2808/3600 (78.0%)
  container   1 type 3 20x18x10 dest -: 8 boxes, volume 2808/3600 (78.0%)
  container   2 type 3 20x18x10 dest -: 8 boxes, volume 2808/3600 (78.0%)
  container   3 type 3 20x18x10 dest -: 8 boxes, volume 2808/3600 (78.0%)
  container   4 type 3 20x18x10 dest -: 8 boxes, volume 2808/3600 (78.0%)
  container   5 type 3 20x18x10 dest -: 8 boxes, volume 2808/3600 (78.0%)
  container   6 type 3 20x18x10 dest -: 9 boxes, volume 2880/3600 (80.0%)
  container   7 type 3 20x18x10 dest -: 15 boxes, volume 2880/3600 (80.0%)
  container   8 type 3 20x18x10 dest -: 18 boxes, volume 2592/3600 (72.0%)

Placements (box, type, container, position, oriented dims):
  box   71 type 2 -> container 6 pos (16, 0, 0) dims (4, 5, 9)
  box   72 type 2 -> container 6 pos (16, 5, 0) dims (4, 5, 9)
  box   73 type 2 -> container 6 pos (16, 10, 0) dims (4, 5, 9)
  box   74 type 2 -> container 6 pos (0, 12, 0) dims (5, 4, 9)
  box    0 type 1 -> container 6 pos (5, 12, 0) dims (3, 6, 8)
  box    1 type 1 -> container 6 pos (8, 12, 0) dims (3, 6, 8)
  box    2 type 1 -> container 6 pos (11, 12, 0) dims (3, 6, 8)
  box   89 type 3 -> container 7 pos (0, 0, 0) dims (8, 12, 9)
  box    3 type 1 -> container 7 pos (8, 0, 0) dims (3, 6, 8)
  box    4 type 1 -> container 7 pos (11, 0, 0) dims (3, 6, 8)
  box    5 type 1 -> container 7 pos (14, 0, 0) dims (3, 6, 8)
  box    6 type 1 -> container 7 pos (17, 0, 0) dims (3, 6, 8)
  box    7 type 1 -> container 7 pos (8, 6, 0) dims (3, 6, 8)
  box    8 type 1 -> container 7 pos (11, 6, 0) dims (3, 6, 8)
  box    9 type 1 -> container 7 pos (14, 6, 0) dims (3, 6, 8)
  box   10 type 1 -> container 7 pos (17, 6, 0) dims (3, 6, 8)
  box   11 type 1 -> container 7 pos (0, 12, 0) dims (3, 6, 8)
  box   12 type 1 -> container 7 pos (3, 12, 0) dims (3, 6, 8)
  box   13 type 1 -> container 7 pos (6, 12, 0) dims (3, 6, 8)
  box   14 type 1 -> container 7 pos (9, 12, 0) dims (3, 6, 8)
  box   15 type 1 -> container 7 pos (12, 12, 0) dims (3, 6, 8)
  box   16 type 1 -> container 7 pos (15, 12, 0) dims (3, 6, 8)
  box   17 type 1 -> container 8 pos (0, 0, 0) dims (3, 6, 8)
  box   18 type 1 -> container 8 pos (3, 0, 0) dims (3, 6, 8)
  box   19 type 1 -> container 8 pos (6, 0, 0) dims (3, 6, 8)
  box   20 type 1 -> container 8 pos (9, 0, 0) dims (3, 6, 8)
  box   21 type 1 -> container 8 pos (12, 0, 0) dims (3, 6, 8)
  box   22 type 1 -> container 8 pos (15, 0, 0) dims (3, 6, 8)
  box   23 type 1 -> container 8 pos (0, 6, 0) dims (3, 6, 8)
  box   24 type 1 -> container 8 pos (3, 6, 0) dims (3, 6, 8)
  box   25 type 1 -> container 8 pos (6, 6, 0) dims (3, 6, 8)
  box   26 type 1 -> container 8 pos (9, 6, 0) dims (3, 6, 8)
  box   27 type 1 -> container 8 pos (12, 6, 0) dims (3, 6, 8)
  box   28 type 1 -> container 8 pos (15, 6, 0) dims (3, 6, 8)
  box   29 type 1 -> container 8 pos (0, 12, 0) dims (3, 6, 8)
  box   30 type 1 -> container 8 pos (3, 12, 0) dims (3, 6, 8)
  box   31 type 1 -> container 8 pos (6, 12, 0) dims (3, 6, 8)
  box   32 type 1 -> container 8 pos (9, 12, 0) dims (3, 6, 8)
  box   33 type 1 -> container 8 pos (12, 12, 0) dims (3, 6, 8)
  box   34 type 1 -> container 8 pos (15, 12, 0) dims (3, 6, 8)
