Instance: problem06b
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 95 (3 types), total box volume 116880
Container types: 1 (unlimited supply per type)
  type 1: 24x20x24, volume 11520, cost 1152.0

Run started: 2026-09-13 18:42:49
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.01 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 11
  Containers by type: Typ1=11
  Total container volume: 126720
  Total container cost: 12672.0
  Volume utilization: 116880 / 126720 = 92.2%
  Mean per-container utilization: 92.2%

Greedy (initial decode) cost: 16128.0
SA improvement over greedy: -3456.0
Best found at iteration 870 (1.3 s)

SA parameters:
  T0: 1097.33 (calibrated, 114 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 250.1536 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 13862 in 15.01 s (923.8 it/s)
  accepted: 5582 (of which neutral 4989), rejected: 8280, no-move draws: 0
  reheats: 4
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 1 24x20x24 dest -: 13 boxes, volume 11280/11520 (97.9%)
  container   1 type 1 24x20x24 dest -: 8 boxes, volume 10800/11520 (93.8%)
  container   2 type 1 24x20x24 dest -: 8 boxes, volume 10560/11520 (91.7%)
  container   3 type 1 24x20x24 dest -: 8 boxes, volume 10560/11520 (91.7%)
  container   4 type 1 24x20x24 dest -: 8 boxes, volume 10800/11520 (93.8%)
  container   5 type 1 24x20x24 dest -: 10 boxes, volume 11040/11520 (95.8%)
  container   6 type 1 24x20x24 dest -: 8 boxes, volume 10560/11520 (91.7%)
  container   7 type 1 24x20x24 dest -: 8 boxes, volume 10560/11520 (91.7%)
  container   8 type 1 24x20x24 dest -: 10 boxes, volume 11040/11520 (95.8%)
  container   9 type 1 24x20x24 dest -: 8 boxes, volume 10560/11520 (91.7%)
  container  10 type 1 24x20x24 dest -: 6 boxes, volume 9120/11520 (79.2%)

Placements (box, type, container, position, oriented dims):
  box   84 type 3 -> container 5 pos (0, 10, 18) dims (8, 10, 6)
  box   79 type 3 -> container 5 pos (8, 10, 18) dims (8, 10, 6)
  box   85 type 3 -> container 5 pos (16, 10, 18) dims (8, 10, 6)
  box   16 type 1 -> container 6 pos (0, 0, 0) dims (8, 10, 18)
  box   54 type 2 -> container 6 pos (8, 0, 0) dims (14, 10, 12)
  box   18 type 1 -> container 6 pos (0, 10, 0) dims (8, 10, 18)
  box   34 type 2 -> container 6 pos (8, 10, 0) dims (14, 10, 12)
  box   28 type 2 -> container 6 pos (8, 0, 12) dims (14, 10, 12)
  box   60 type 2 -> container 6 pos (8, 10, 12) dims (14, 10, 12)
  box   70 type 3 -> container 6 pos (0, 0, 18) dims (8, 10, 6)
  box   82 type 3 -> container 6 pos (0, 10, 18) dims (8, 10, 6)
  box   58 type 2 -> container 7 pos (0, 0, 0) dims (14, 10, 12)
  box    1 type 1 -> container 7 pos (14, 0, 0) dims (8, 10, 18)
  box   11 type 1 -> container 7 pos (0, 10, 0) dims (8, 10, 18)
  box   35 type 2 -> container 7 pos (8, 10, 0) dims (14, 10, 12)
  box   36 type 2 -> container 7 pos (0, 0, 12) dims (14, 10, 12)
  box   50 type 2 -> container 7 pos (8, 10, 12) dims (14, 10, 12)
  box   68 type 3 -> container 7 pos (14, 0, 18) dims (8, 10, 6)
  box   92 type 3 -> container 7 pos (0, 10, 18) dims (8, 10, 6)
  box    0 type 1 -> container 8 pos (0, 0, 0) dims (8, 10, 18)
  box    7 type 1 -> container 8 pos (8, 0, 0) dims (8, 10, 18)
  box    9 type 1 -> container 8 pos (16, 0, 0) dims (8, 10, 18)
  box   41 type 2 -> container 8 pos (0, 10, 0) dims (14, 10, 12)
  box   40 type 2 -> container 8 pos (0, 10, 12) dims (14, 10, 12)
  box   24 type 1 -> container 8 pos (14, 10, 0) dims (8, 10, 18)
  box   91 type 3 -> container 8 pos (0, 0, 18) dims (8, 10, 6)
  box   81 type 3 -> container 8 pos (8, 0, 18) dims (8, 10, 6)
  box   89 type 3 -> container 8 pos (16, 0, 18) dims (8, 10, 6)
  box   80 type 3 -> container 8 pos (14, 10, 18) dims (8, 10, 6)
  box   15 type 1 -> container 9 pos (0, 0, 0) dims (8, 10, 18)
  box   46 type 2 -> container 9 pos (8, 0, 0) dims (14, 10, 12)
  box   57 type 2 -> container 9 pos (0, 10, 0) dims (14, 10, 12)
  box   59 type 2 -> container 9 pos (8, 0, 12) dims (14, 10, 12)
  box   45 type 2 -> container 9 pos (0, 10, 12) dims (14, 10, 12)
  box   22 type 1 -> container 9 pos (14, 10, 0) dims (8, 10, 18)
  box   83 type 3 -> container 9 pos (0, 0, 18) dims (8, 10, 6)
  box   87 type 3 -> container 9 pos (14, 10, 18) dims (8, 10, 6)
  box   55 type 2 -> container 10 pos (0, 0, 0) dims (14, 10, 12)
  box   21 type 1 -> container 10 pos (14, 0, 0) dims (8, 10, 18)
  box    8 type 1 -> container 10 pos (0, 10, 0) dims (8, 10, 18)
  box    2 type 1 -> container 10 pos (8, 10, 0) dims (8, 10, 18)
  box   38 type 2 -> container 10 pos (0, 0, 12) dims (14, 10, 12)
  box   26 type 1 -> container 10 pos (16, 10, 0) dims (8, 10, 18)
