Instance: problem08a
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 95 (5 types), total box volume 89059
Container types: 3 (unlimited supply per type)
  type 1: 17x16x20, volume 5440, cost 544.0
  type 2: 23x18x30, volume 12420, cost 1242.0
  type 3: 15x12x30, volume 5400, cost 540.0

Run started: 2026-09-13 18:44:34
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 13
  Containers by type: Typ1=0 Typ2=5 Typ3=8
  Total container volume: 105300
  Total container cost: 10530.0
  Volume utilization: 89059 / 105300 = 84.6%
  Mean per-container utilization: 83.2%

Greedy (initial decode) cost: 12150.0
SA improvement over greedy: -1620.0
Best found at iteration 229 (2.4 s)

SA parameters:
  T0: 3.81 (calibrated, 145 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 0.8686 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 3188 in 15.00 s (212.5 it/s)
  accepted: 517 (of which neutral 482), rejected: 2671, no-move draws: 0
  reheats: 0
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 3 15x12x30 dest -: 3 boxes, volume 4620/5400 (85.6%)
  container   1 type 2 23x18x30 dest -: 15 boxes, volume 10579/12420 (85.2%)
  container   2 type 2 23x18x30 dest -: 12 boxes, volume 11206/12420 (90.2%)
  container   3 type 2 23x18x30 dest -: 12 boxes, volume 11206/12420 (90.2%)
  container   4 type 3 15x12x30 dest -: 4 boxes, volume 4419/5400 (81.8%)
  container   5 type 2 23x18x30 dest -: 14 boxes, volume 10696/12420 (86.1%)
  container   6 type 3 15x12x30 dest -: 4 boxes, volume 4272/5400 (79.1%)
  container   7 type 2 23x18x30 dest -: 13 boxes, volume 10556/12420 (85.0%)
  container   8 type 3 15x12x30 dest -: 3 boxes, volume 4620/5400 (85.6%)
  container   9 type 3 15x12x30 dest -: 3 boxes, volume 4620/5400 (85.6%)
  container  10 type 3 15x12x30 dest -: 5 boxes, volume 3799/5400 (70.4%)
  container  11 type 3 15x12x30 dest -: 4 boxes, volume 4430/5400 (82.0%)
  container  12 type 3 15x12x30 dest -: 3 boxes, volume 4036/5400 (74.7%)

Placements (box, type, container, position, oriented dims):
  box    6 type 1 -> container 5 pos (8, 0, 24) dims (8, 11, 6)
  box   26 type 2 -> container 5 pos (0, 13, 9) dims (15, 5, 9)
  box   30 type 2 -> container 5 pos (0, 13, 18) dims (15, 5, 9)
  box   40 type 3 -> container 5 pos (16, 0, 26) dims (7, 13, 4)
  box   66 type 4 -> container 6 pos (0, 0, 0) dims (13, 12, 8)
  box   67 type 4 -> container 6 pos (0, 0, 8) dims (13, 12, 8)
  box   68 type 4 -> container 6 pos (0, 0, 16) dims (13, 12, 8)
  box    7 type 1 -> container 6 pos (0, 0, 24) dims (8, 11, 6)
  box   70 type 4 -> container 7 pos (0, 0, 0) dims (8, 13, 12)
  box   91 type 5 -> container 7 pos (8, 0, 0) dims (14, 10, 11)
  box   71 type 4 -> container 7 pos (8, 10, 0) dims (12, 8, 13)
  box   77 type 5 -> container 7 pos (8, 0, 11) dims (14, 10, 11)
  box   69 type 4 -> container 7 pos (0, 0, 12) dims (8, 13, 12)
  box    8 type 1 -> container 7 pos (8, 10, 13) dims (6, 8, 11)
  box   12 type 1 -> container 7 pos (14, 10, 13) dims (6, 8, 11)
  box   13 type 1 -> container 7 pos (8, 0, 22) dims (11, 6, 8)
  box   14 type 1 -> container 7 pos (0, 0, 24) dims (8, 11, 6)
  box   16 type 1 -> container 7 pos (8, 10, 24) dims (11, 8, 6)
  box   42 type 3 -> container 7 pos (0, 13, 0) dims (7, 4, 13)
  box   43 type 3 -> container 7 pos (0, 13, 13) dims (7, 4, 13)
  box   47 type 3 -> container 7 pos (8, 6, 22) dims (13, 4, 7)
  box   90 type 5 -> container 8 pos (0, 0, 0) dims (14, 11, 10)
  box   86 type 5 -> container 8 pos (0, 0, 10) dims (14, 11, 10)
  box   87 type 5 -> container 8 pos (0, 0, 20) dims (14, 11, 10)
  box   85 type 5 -> container 9 pos (0, 0, 0) dims (14, 11, 10)
  box   88 type 5 -> container 9 pos (0, 0, 10) dims (14, 11, 10)
  box   94 type 5 -> container 9 pos (0, 0, 20) dims (14, 11, 10)
  box   78 type 5 -> container 10 pos (0, 0, 0) dims (14, 11, 10)
  box   17 type 1 -> container 10 pos (0, 0, 10) dims (6, 8, 11)
  box   32 type 2 -> container 10 pos (6, 0, 10) dims (9, 5, 15)
  box   19 type 1 -> container 10 pos (6, 5, 10) dims (8, 6, 11)
  box   18 type 1 -> container 10 pos (0, 0, 21) dims (6, 11, 8)
  box   27 type 2 -> container 11 pos (0, 0, 0) dims (15, 5, 9)
  box   79 type 5 -> container 11 pos (0, 0, 9) dims (14, 11, 10)
  box   92 type 5 -> container 11 pos (0, 0, 19) dims (14, 11, 10)
  box   29 type 2 -> container 11 pos (0, 5, 0) dims (15, 5, 9)
  box   73 type 4 -> container 12 pos (0, 0, 0) dims (13, 12, 8)
  box   84 type 5 -> container 12 pos (0, 0, 8) dims (14, 11, 10)
  box   63 type 4 -> container 12 pos (0, 0, 18) dims (13, 12, 8)
