Instance: problem08d
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 95 (5 types), total box volume 89059
Container types: 1 (unlimited supply per type)
  type 3: 15x12x30, volume 5400, cost 540.0

Run started: 2026-09-13 18:45:19
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 21
  Containers by type: Typ3=21
  Total container volume: 113400
  Total container cost: 11340.0
  Volume utilization: 89059 / 113400 = 78.5%
  Mean per-container utilization: 78.5%

Greedy (initial decode) cost: 14040.0
SA improvement over greedy: -2700.0
Best found at iteration 127 (0.5 s)

SA parameters:
  T0: 514.37 (calibrated, 20 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 117.2595 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 13085 in 15.00 s (872.3 it/s)
  accepted: 5304 (of which neutral 4781), rejected: 7781, no-move draws: 0
  reheats: 4
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 3 15x12x30 dest -: 4 boxes, volume 3972/5400 (73.6%)
  container   1 type 3 15x12x30 dest -: 6 boxes, volume 4572/5400 (84.7%)
  container   2 type 3 15x12x30 dest -: 3 boxes, volume 4620/5400 (85.6%)
  container   3 type 3 15x12x30 dest -: 3 boxes, volume 4620/5400 (85.6%)
  container   4 type 3 15x12x30 dest -: 6 boxes, volume 4572/5400 (84.7%)
  container   5 type 3 15x12x30 dest -: 5 boxes, volume 4355/5400 (80.6%)
  container   6 type 3 15x12x30 dest -: 3 boxes, volume 4620/5400 (85.6%)
  container   7 type 3 15x12x30 dest -: 3 boxes, volume 4328/5400 (80.1%)
  container   8 type 3 15x12x30 dest -: 4 boxes, volume 3846/5400 (71.2%)
  container   9 type 3 15x12x30 dest -: 4 boxes, volume 3846/5400 (71.2%)
  container  10 type 3 15x12x30 dest -: 5 boxes, volume 4355/5400 (80.6%)
  container  11 type 3 15x12x30 dest -: 4 boxes, volume 3846/5400 (71.2%)
  container  12 type 3 15x12x30 dest -: 4 boxes, volume 3991/5400 (73.9%)
  container  13 type 3 15x12x30 dest -: 4 boxes, volume 3846/5400 (71.2%)
  container  14 type 3 15x12x30 dest -: 4 boxes, volume 3846/5400 (71.2%)
  container  15 type 3 15x12x30 dest -: 6 boxes, volume 4444/5400 (82.3%)
  container  16 type 3 15x12x30 dest -: 6 boxes, volume 4444/5400 (82.3%)
  container  17 type 3 15x12x30 dest -: 5 boxes, volume 4063/5400 (75.2%)
  container  18 type 3 15x12x30 dest -: 8 boxes, volume 4616/5400 (85.5%)
  container  19 type 3 15x12x30 dest -: 5 boxes, volume 3929/5400 (72.8%)
  container  20 type 3 15x12x30 dest -: 3 boxes, volume 4328/5400 (80.1%)

Placements (box, type, container, position, oriented dims):
  box   70 type 4 -> container 15 pos (0, 0, 13) dims (8, 12, 13)
  box    0 type 1 -> container 15 pos (8, 0, 0) dims (6, 8, 11)
  box    1 type 1 -> container 15 pos (8, 0, 11) dims (6, 8, 11)
  box    2 type 1 -> container 15 pos (8, 0, 22) dims (6, 11, 8)
  box   44 type 3 -> container 15 pos (8, 8, 0) dims (7, 4, 13)
  box   72 type 4 -> container 16 pos (0, 0, 0) dims (8, 12, 13)
  box   61 type 4 -> container 16 pos (0, 0, 13) dims (8, 12, 13)
  box    4 type 1 -> container 16 pos (8, 0, 0) dims (6, 8, 11)
  box    6 type 1 -> container 16 pos (8, 0, 11) dims (6, 8, 11)
  box   10 type 1 -> container 16 pos (8, 0, 22) dims (6, 11, 8)
  box   38 type 3 -> container 16 pos (8, 8, 0) dims (7, 4, 13)
  box   71 type 4 -> container 17 pos (0, 0, 0) dims (8, 12, 13)
  box   50 type 4 -> container 17 pos (0, 0, 13) dims (8, 12, 13)
  box   13 type 1 -> container 17 pos (8, 0, 0) dims (6, 8, 11)
  box   30 type 2 -> container 17 pos (8, 0, 11) dims (5, 9, 15)
  box   40 type 3 -> container 17 pos (0, 0, 26) dims (13, 7, 4)
  box   53 type 4 -> container 18 pos (0, 0, 0) dims (8, 12, 13)
  box    3 type 1 -> container 18 pos (8, 0, 0) dims (6, 8, 11)
  box   18 type 1 -> container 18 pos (8, 0, 11) dims (6, 8, 11)
  box   19 type 1 -> container 18 pos (0, 0, 13) dims (6, 8, 11)
  box    5 type 1 -> container 18 pos (8, 0, 22) dims (6, 11, 8)
  box   15 type 1 -> container 18 pos (0, 0, 24) dims (8, 11, 6)
  box   42 type 3 -> container 18 pos (8, 8, 0) dims (7, 4, 13)
  box   45 type 3 -> container 18 pos (0, 8, 13) dims (13, 4, 7)
  box   83 type 5 -> container 19 pos (0, 0, 0) dims (14, 11, 10)
  box   32 type 2 -> container 19 pos (0, 0, 10) dims (5, 9, 15)
  box   20 type 2 -> container 19 pos (5, 0, 10) dims (5, 9, 15)
  box   29 type 2 -> container 19 pos (10, 0, 10) dims (5, 9, 15)
  box   49 type 3 -> container 19 pos (0, 0, 25) dims (13, 7, 4)
  box   77 type 5 -> container 20 pos (0, 0, 0) dims (14, 11, 10)
  box   90 type 5 -> container 20 pos (0, 0, 10) dims (14, 11, 10)
  box   63 type 4 -> container 20 pos (0, 0, 20) dims (13, 12, 8)
