Instance: problem05a
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 95 (3 types), total box volume 932500
Container types: 3 (unlimited supply per type)
  type 1: 35x30x20, volume 21000, cost 2100.0
  type 2: 35x35x40, volume 49000, cost 4900.0
  type 3: 35x25x40, volume 35000, cost 3500.0

Run started: 2026-09-13 18:41:34
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.01 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 30
  Containers by type: Typ1=7 Typ2=0 Typ3=23
  Total container volume: 952000
  Total container cost: 95200.0
  Volume utilization: 932500 / 952000 = 98.0%
  Mean per-container utilization: 97.9%

Greedy (initial decode) cost: 113400.0
SA improvement over greedy: -18200.0
Best found at iteration 2117 (10.9 s)

SA parameters:
  T0: 2000.34 (calibrated, 203 worsening draws, target accept 35%)
  schedule: time-based, T0 -> 456.0092 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 3175 in 15.01 s (211.6 it/s)
  accepted: 1029 (of which neutral 535), rejected: 2146, no-move draws: 0
  reheats: 0
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 1 35x30x20 dest -: 9 boxes, volume 19500/21000 (92.9%)
  container   1 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container   2 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container   3 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container   4 type 3 35x25x40 dest -: 3 boxes, volume 32500/35000 (92.9%)
  container   5 type 3 35x25x40 dest -: 3 boxes, volume 32500/35000 (92.9%)
  container   6 type 1 35x30x20 dest -: 6 boxes, volume 21000/21000 (100.0%)
  container   7 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container   8 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container   9 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container  10 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container  11 type 1 35x30x20 dest -: 6 boxes, volume 21000/21000 (100.0%)
  container  12 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container  13 type 3 35x25x40 dest -: 3 boxes, volume 32500/35000 (92.9%)
  container  14 type 1 35x30x20 dest -: 6 boxes, volume 21000/21000 (100.0%)
  container  15 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container  16 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container  17 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container  18 type 1 35x30x20 dest -: 6 boxes, volume 21000/21000 (100.0%)
  container  19 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container  20 type 1 35x30x20 dest -: 6 boxes, volume 21000/21000 (100.0%)
  container  21 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container  22 type 1 35x30x20 dest -: 4 boxes, volume 18000/21000 (85.7%)
  container  23 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container  24 type 3 35x25x40 dest -: 3 boxes, volume 32500/35000 (92.9%)
  container  25 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container  26 type 3 35x25x40 dest -: 3 boxes, volume 32500/35000 (92.9%)
  container  27 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)
  container  28 type 3 35x25x40 dest -: 3 boxes, volume 32500/35000 (92.9%)
  container  29 type 3 35x25x40 dest -: 2 boxes, volume 35000/35000 (100.0%)

Placements (box, type, container, position, oriented dims):
  box   13 type 1 -> container 22 pos (0, 15, 0) dims (25, 15, 20)
  box   27 type 2 -> container 22 pos (25, 0, 0) dims (10, 15, 10)
  box   28 type 2 -> container 22 pos (25, 15, 0) dims (10, 15, 10)
  box   89 type 3 -> container 23 pos (0, 0, 0) dims (35, 25, 20)
  box   82 type 3 -> container 23 pos (0, 0, 20) dims (35, 25, 20)
  box   67 type 3 -> container 24 pos (0, 0, 0) dims (35, 25, 20)
  box   11 type 1 -> container 24 pos (0, 0, 20) dims (20, 25, 15)
  box    9 type 1 -> container 24 pos (20, 0, 20) dims (15, 25, 20)
  box   79 type 3 -> container 25 pos (0, 0, 0) dims (35, 25, 20)
  box   91 type 3 -> container 25 pos (0, 0, 20) dims (35, 25, 20)
  box   84 type 3 -> container 26 pos (0, 0, 0) dims (35, 25, 20)
  box   15 type 1 -> container 26 pos (0, 0, 20) dims (20, 25, 15)
  box   17 type 1 -> container 26 pos (20, 0, 20) dims (15, 25, 20)
  box   74 type 3 -> container 27 pos (0, 0, 0) dims (35, 25, 20)
  box   65 type 3 -> container 27 pos (0, 0, 20) dims (35, 25, 20)
  box   90 type 3 -> container 28 pos (0, 0, 0) dims (35, 25, 20)
  box   16 type 1 -> container 28 pos (0, 0, 20) dims (20, 25, 15)
  box   21 type 1 -> container 28 pos (20, 0, 20) dims (15, 25, 20)
  box   86 type 3 -> container 29 pos (0, 0, 0) dims (35, 25, 20)
  box   93 type 3 -> container 29 pos (0, 0, 20) dims (35, 25, 20)
