Instance: problem16d
Solver: simulated annealing (Bortfeldt MCLP: minimise container cost, every box packed)
Destination restriction: none (unrestricted)
Boxes: 90 (3 types), total box volume 355470
Container types: 1 (unlimited supply per type)
  type 3: 38x71x55, volume 148390, cost 14839.0

Run started: 2026-09-13 18:52:34
Command: Bortfeldt-SA.py --instance-files Ivancic/problem01a.txt Ivancic/problem01b.txt Ivancic/problem01c.txt Ivancic/problem02a.txt Ivancic/problem02b.txt Ivancic/problem02c.txt Ivancic/problem02d.txt Ivancic/problem03a.txt Ivancic/problem03b.txt Ivancic/problem03c.txt Ivancic/problem03d.txt Ivancic/problem04a.txt Ivancic/problem04b.txt Ivancic/problem04c.txt Ivancic/problem04d.txt Ivancic/problem05a.txt Ivancic/problem05b.txt Ivancic/problem05c.txt Ivancic/problem05d.txt Ivancic/problem06a.txt Ivancic/problem06b.txt Ivancic/problem06c.txt Ivancic/problem06d.txt Ivancic/problem07a.txt Ivancic/problem07b.txt Ivancic/problem07c.txt Ivancic/problem07d.txt Ivancic/problem08a.txt Ivancic/problem08b.txt Ivancic/problem08c.txt Ivancic/problem08d.txt Ivancic/problem09a.txt Ivancic/problem09b.txt Ivancic/problem09c.txt Ivancic/problem09d.txt Ivancic/problem10a.txt Ivancic/problem10b.txt Ivancic/problem10c.txt Ivancic/problem11a.txt Ivancic/problem11b.txt Ivancic/problem11c.txt Ivancic/problem11d.txt Ivancic/problem12a.txt Ivancic/problem12b.txt Ivancic/problem12c.txt Ivancic/problem12d.txt Ivancic/problem13a.txt Ivancic/problem13b.txt Ivancic/problem13c.txt Ivancic/problem14a.txt Ivancic/problem14b.txt Ivancic/problem14c.txt Ivancic/problem14d.txt Ivancic/problem15a.txt Ivancic/problem15b.txt Ivancic/problem15c.txt Ivancic/problem16a.txt Ivancic/problem16b.txt Ivancic/problem16c.txt Ivancic/problem16d.txt Ivancic/problem17a.txt Ivancic/problem17b.txt Ivancic/problem17c.txt Ivancic/problem17d.txt --time-limit 15 --results-dir results_Bortfeldt_SA --quiet
Time limit: 15.0 s per instance
Runtime: 15.00 s (stopped on time limit)

RESULT (the figures Bortfeldt (2000) Table 1 reports)
  Containers used: 4
  Containers by type: Typ3=4
  Total container volume: 593560
  Total container cost: 59356.0
  Volume utilization: 355470 / 593560 = 59.9%
  Mean per-container utilization: 59.9%

Greedy (initial decode) cost: 59356.0
SA improvement over greedy: -0.0
Best found at iteration 0 (0.0 s)

SA parameters:
  T0: 2967.80 (5% of f(S_0), no worsening draw sampled)
  schedule: time-based, T0 -> 0.0000 over 15s
  reheat threshold: 3000 it, fraction 0.25 decaying x0.9 per reheat
  ep limit: 0 (0 = unlimited)
  move weights: swap=1, relocate=1, orient=0.7, strategy=0.6
  selection rules: efficiency, volume, cheap
  seed: 22676096

SA statistics:
  iterations: 3350 in 15.00 s (223.3 it/s)
  accepted: 1687 (of which neutral 1687), rejected: 1663, no-move draws: 0
  reheats: 1
  verification: ok

Containers (index, type, dims, destination, boxes, packed volume, utilization):
  container   0 type 3 38x71x55 dest -: 37 boxes, volume 111470/148390 (75.1%)
  container   1 type 3 38x71x55 dest -: 17 boxes, volume 77590/148390 (52.3%)
  container   2 type 3 38x71x55 dest -: 23 boxes, volume 106740/148390 (71.9%)
  container   3 type 3 38x71x55 dest -: 13 boxes, volume 59670/148390 (40.2%)

Placements (box, type, container, position, oriented dims):
  box   84 type 3 -> container 1 pos (0, 48, 15) dims (24, 16, 15)
  box   85 type 3 -> container 1 pos (0, 0, 30) dims (24, 16, 15)
  box   86 type 3 -> container 1 pos (0, 16, 30) dims (24, 16, 15)
  box   87 type 3 -> container 1 pos (0, 32, 30) dims (24, 16, 15)
  box   88 type 3 -> container 1 pos (0, 48, 30) dims (24, 16, 15)
  box   60 type 2 -> container 1 pos (24, 0, 0) dims (11, 14, 11)
  box   61 type 2 -> container 1 pos (24, 14, 0) dims (11, 14, 11)
  box   62 type 2 -> container 1 pos (24, 28, 0) dims (11, 14, 11)
  box   63 type 2 -> container 1 pos (24, 42, 0) dims (11, 14, 11)
  box   64 type 2 -> container 1 pos (24, 56, 0) dims (11, 14, 11)
  box   89 type 3 -> container 2 pos (0, 0, 0) dims (24, 16, 15)
  box    0 type 1 -> container 2 pos (0, 16, 0) dims (15, 18, 17)
  box    1 type 1 -> container 2 pos (15, 16, 0) dims (15, 18, 17)
  box    2 type 1 -> container 2 pos (0, 34, 0) dims (15, 18, 17)
  box    3 type 1 -> container 2 pos (15, 34, 0) dims (15, 18, 17)
  box    4 type 1 -> container 2 pos (0, 52, 0) dims (15, 18, 17)
  box    5 type 1 -> container 2 pos (15, 52, 0) dims (15, 18, 17)
  box    6 type 1 -> container 2 pos (0, 0, 15) dims (18, 15, 17)
  box    7 type 1 -> container 2 pos (18, 0, 15) dims (18, 15, 17)
  box    8 type 1 -> container 2 pos (0, 16, 17) dims (15, 18, 17)
  box    9 type 1 -> container 2 pos (15, 16, 17) dims (15, 18, 17)
  box   10 type 1 -> container 2 pos (0, 34, 17) dims (15, 18, 17)
  box   11 type 1 -> container 2 pos (15, 34, 17) dims (15, 18, 17)
  box   12 type 1 -> container 2 pos (0, 52, 17) dims (15, 18, 17)
  box   13 type 1 -> container 2 pos (15, 52, 17) dims (15, 18, 17)
  box   14 type 1 -> container 2 pos (0, 0, 32) dims (18, 15, 17)
  box   15 type 1 -> container 2 pos (18, 0, 32) dims (18, 15, 17)
  box   16 type 1 -> container 2 pos (0, 16, 34) dims (15, 18, 17)
  box   17 type 1 -> container 2 pos (15, 16, 34) dims (15, 18, 17)
  box   18 type 1 -> container 2 pos (0, 34, 34) dims (15, 18, 17)
  box   19 type 1 -> container 2 pos (15, 34, 34) dims (15, 18, 17)
  box   20 type 1 -> container 2 pos (0, 52, 34) dims (15, 18, 17)
  box   21 type 1 -> container 2 pos (15, 52, 34) dims (15, 18, 17)
  box   22 type 1 -> container 3 pos (0, 0, 0) dims (15, 18, 17)
  box   23 type 1 -> container 3 pos (15, 0, 0) dims (15, 18, 17)
  box   24 type 1 -> container 3 pos (0, 18, 0) dims (15, 18, 17)
  box   25 type 1 -> container 3 pos (15, 18, 0) dims (15, 18, 17)
  box   26 type 1 -> container 3 pos (0, 36, 0) dims (15, 18, 17)
  box   27 type 1 -> container 3 pos (15, 36, 0) dims (15, 18, 17)
  box   28 type 1 -> container 3 pos (0, 54, 0) dims (15, 17, 18)
  box   29 type 1 -> container 3 pos (15, 54, 0) dims (15, 17, 18)
  box   30 type 1 -> container 3 pos (0, 0, 17) dims (15, 18, 17)
  box   31 type 1 -> container 3 pos (15, 0, 17) dims (15, 18, 17)
  box   32 type 1 -> container 3 pos (0, 18, 17) dims (15, 18, 17)
  box   33 type 1 -> container 3 pos (15, 18, 17) dims (15, 18, 17)
  box   34 type 1 -> container 3 pos (0, 36, 17) dims (15, 18, 17)
